L0006.SH.SD.Soil.ITS.Om.2	L0006.SH.GE.Soil.ITS.Om.2	L0006.SH.SD.Endo.ITS.Om.1	L0006.SH.GE.Soil.ITS.Om.1	L0006.SH.SD.Epi.ITS.Om.3	L0006.SH.SD.Soil.ITS.Om.3	L0006.SH.SD.Epi.ITS.Om.2	L0006.SH.GE.Soil.ITS.Om.3	L0006.SH.GE.Endo.ITS.Om.4	L0006.SH.SD.Epi.ITS.Om.1	L0006.SH.CAS9.Root.ITS.Om.3	L0006.SH.GE.Epi.ITS.Om.2	L0006.SH.CAS9.Soil.ITS.Om.3	L0006.SH.GE.Epi.ITS.Om.3	L0006.SH.GE.Endo.ITS.Om.3	L0006.SH.SD.Endo.ITS.Om.2	L0006.SH.PU.Soil.ITS.Om.3	L0006.SH.PU.Endo.ITS.Om.3	L0006.SH.SD.Endo.ITS.Om.3	L0006.SH.SD.Endo.ITS.Om.4	L0006.SH.CAS9.Root.ITS.Om.1	L0006.SH.PU.Epi.ITS.Om.3	L0006.SH.GE.Epi.ITS.Om.4	L0006.SH.CAS8.Root.ITS.Om.2	L0006.SH.GE.Soil.ITS.Om.4	L0006.SH.SD.Soil.ITS.Om.1	L0006.SH.SD.Soil.ITS.Om.4	L0006.SH.CAS9.Root.ITS.Om.2	L0006.SH.SD.Epi.ITS.Om.4	L0006.SH.CAS9.Soil.ITS.Om.1	L0006.SH.PU.Soil.ITS.Om.2	L0006.SH.GE.Endo.ITS.Om.2	L0006.SH.CAS9.Soil.ITS.Om.2	L0006.SH.PU.Epi.ITS.Om.4	L0006.SH.PU.Endo.ITS.Om.4	L0006.SH.PU.Soil.ITS.Om.1	L0006.SH.CAS8.Root.ITS.Om.3	L0006.SH.PU.Epi.ITS.Om.2	L0006.SH.CAS8.Root.ITS.Om.1	L0006.SH.PU.Soil.ITS.Om.4	L0006.SH.CAS8.Soil.ITS.Om.3	L0006.SH.GE.Endo.ITS.Om.1	L0006.SH.CAS8.Soil.ITS.Om.1	L0006.SH.GE.Epi.ITS.Om.1	L0006.SH.PU.Epi.ITS.Om.1	L0006.SH.CAS8.Soil.ITS.Om.2	L0006.SH.PU.Endo.ITS.Om.2	L0006.SH.PU.Endo.ITS.Om.1
L0006.SH.CAS9.Root.ITS.Om.3	0.938725867028	0.862063133227	0.919585274279	0.807460663694	0.879915622687	0.949157349995	0.898541418437	0.815717829124	0.781562637751	0.931724192205	0.0	0.876130468298	0.724859262993	0.823340078734	0.77198929422	0.785849084883	0.828218641835	0.579439642056	0.84518453907	0.857755141342	0.364456940138	0.780675519335	0.74459250334	0.300679554259	0.826652207484	0.932170335986	0.956169962992	0.307779842113	0.953569144081	0.840505122782	0.909195617676	0.790251607751	0.85299152275	0.581663501509	0.46412445915	0.720634031262	0.275207961027	0.840358674196	0.337966125054	0.76701267819	0.791665986783	0.722647778884	0.589233253002	0.750615121256	0.591170420856	0.779593405155	0.794366546548	0.528334365099
L0006.SH.GE.Epi.ITS.Om.2	0.836236658888	0.586370734343	0.869651831957	0.62840002984	0.896243016647	0.830588593222	0.894642619804	0.600952635909	0.562195402082	0.856536241452	0.876130468298	0.0	0.818586523479	0.564674335129	0.606829990497	0.852338897023	0.665968967248	0.75514398777	0.834528034423	0.888482490877	0.745417050484	0.737907625652	0.509161323769	0.900493913551	0.594405241431	0.860306844046	0.854735498226	0.780637104403	0.850368494617	0.86309445833	0.711202422808	0.602732242191	0.823126588974	0.698120474323	0.775319284168	0.638364897976	0.831685983403	0.826478261876	0.757111228895	0.625718689218	0.826114637239	0.622055078725	0.85663705197	0.616607467546	0.815876778582	0.901004123378	0.890337514551	0.896139199807
L0006.SH.CAS9.Soil.ITS.Om.3	0.86388498934	0.73876778806	0.901028673448	0.672947708542	0.880772559132	0.874246348036	0.938227056629	0.68587604546	0.774526158666	0.881578832607	0.724859262993	0.818586523479	0.0	0.752778275048	0.833919078559	0.863060269646	0.651821597381	0.722188849693	0.853797525508	0.865605562971	0.680686105369	0.685297806149	0.709233031723	0.740766583682	0.64030143946	0.867122060923	0.846295995123	0.642945942357	0.913957473933	0.529178960016	0.731431911471	0.818943790809	0.485460038519	0.68309773467	0.756122344991	0.623940475631	0.712073051216	0.703493558751	0.850357731955	0.648966901526	0.683020136618	0.850016261445	0.492629282123	0.680752949361	0.720868943327	0.497750423493	0.774022871885	0.876350848133
L0006.SH.GE.Epi.ITS.Om.3	0.788333295077	0.543419095549	0.886303535828	0.51838317072	0.735697127681	0.818714837742	0.807275249666	0.492178788909	0.600424549445	0.800926926942	0.823340078734	0.564674335129	0.752778275048	0.0	0.384133950981	0.698958100004	0.652261889011	0.682516689921	0.822530542937	0.834705723261	0.676192311445	0.632923192486	0.508225464332	0.835960135795	0.542886131416	0.791606603139	0.809216232548	0.719203070438	0.855908025303	0.771364255831	0.636481072381	0.663536712941	0.722650955877	0.665955033475	0.813865646599	0.559455995047	0.836614934809	0.708706921032	0.719117630554	0.650040779121	0.771567215175	0.648061734889	0.786837950047	0.508066593193	0.821015135524	0.815180295775	0.831682878454	0.899426107818
L0006.SH.GE.Endo.ITS.Om.3	0.88716105075	0.648717065277	0.910320481344	0.656776533016	0.842080983132	0.902963181641	0.890176841638	0.621477652021	0.457631422747	0.867233886838	0.77198929422	0.606829990497	0.833919078559	0.384133950981	0.0	0.799612367608	0.742176945172	0.654817052562	0.825159067212	0.876147963594	0.672473873781	0.675200524832	0.538858580721	0.790159022208	0.689470300372	0.869059147327	0.898091000236	0.700146458302	0.908225203832	0.871064246837	0.780288592168	0.568226650352	0.78900304527	0.730655748438	0.747570443242	0.715373942303	0.797212667171	0.729792491173	0.647633990743	0.749302376669	0.836822291852	0.549902072595	0.707405047616	0.55982720915	0.846224415351	0.708884021914	0.83807619356	0.891997128539
L0006.SH.SD.Endo.ITS.Om.2	0.667687265637	0.771359017069	0.577917933615	0.74992744428	0.562126004538	0.684119717282	0.560589724688	0.724610289555	0.865194769935	0.588164538788	0.785849084883	0.852338897023	0.863060269646	0.698958100004	0.799612367608	0.0	0.799954735339	0.829686623439	0.517337308445	0.52179407874	0.735019495555	0.765417056596	0.776919227682	0.837007304886	0.776844519539	0.640891904802	0.697755352069	0.743653367711	0.70870476589	0.814788948257	0.768857429989	0.863518272234	0.861863114575	0.785026579078	0.854419803223	0.824496711619	0.676019510545	0.727742887074	0.745799793769	0.818041769876	0.839907488161	0.826153570159	0.868926704167	0.774050749362	0.728437817877	0.912955068142	0.759988439496	0.909474446934
L0006.SH.PU.Soil.ITS.Om.3	0.709723387726	0.419533055236	0.80387834255	0.401506945065	0.726714500354	0.70766701837	0.776531177063	0.470679314102	0.75095905087	0.733022116478	0.828218641835	0.665968967248	0.651821597381	0.652261889011	0.742176945172	0.799954735339	0.0	0.777326280894	0.751500795613	0.785363874541	0.707404041195	0.568653821523	0.52251719896	0.865184609095	0.453835053266	0.700457550822	0.706999895937	0.765561325087	0.795021187071	0.657559031961	0.414000013094	0.796054252618	0.595310581524	0.567367360644	0.823562145506	0.425011254445	0.810004512692	0.757267775311	0.820558139923	0.375235854308	0.711109519389	0.771367506585	0.735641785892	0.624694051238	0.728017245208	0.822336967084	0.734830979156	0.94972145022
L0006.SH.PU.Endo.ITS.Om.3	0.899843540984	0.765323945982	0.863910543438	0.813520405347	0.837082299177	0.897221246984	0.896292961927	0.833369937974	0.542768454943	0.876206072419	0.579439642056	0.75514398777	0.722188849693	0.682516689921	0.654817052562	0.829686623439	0.777326280894	0.0	0.792543010727	0.887006617298	0.561256037466	0.464644549917	0.627999220243	0.632638872124	0.763301079393	0.889848292583	0.892336552255	0.605072671901	0.887078107889	0.908202703498	0.824368941889	0.610098887999	0.772775383904	0.570270901735	0.373715794798	0.661836460485	0.616940998036	0.649802793483	0.528318600908	0.722114689293	0.948731156988	0.60741111284	0.64781762993	0.667377226417	0.526167324978	0.834597288608	0.886526728424	0.628050567582
L0006.SH.SD.Endo.ITS.Om.3	0.603877131662	0.807591940511	0.543110881565	0.800394725825	0.615495507623	0.589423141528	0.591037942181	0.750915675841	0.867879544472	0.462351496674	0.84518453907	0.834528034423	0.853797525508	0.822530542937	0.825159067212	0.517337308445	0.751500795613	0.792543010727	0.0	0.533535918927	0.794153569991	0.741201439425	0.749838925708	0.890821119077	0.757858198291	0.593246539567	0.607753364309	0.861971012346	0.583440714377	0.791523249892	0.759979471597	0.888951487014	0.833009480751	0.809624053106	0.898962970709	0.812906609108	0.807144637438	0.798578486495	0.858102113675	0.79872006865	0.896072453997	0.891087661493	0.867683652551	0.794760650918	0.71275007528	0.909561617724	0.757906092501	0.937051167669
L0006.SH.SD.Endo.ITS.Om.4	0.635525061747	0.802295705227	0.494496563112	0.829394841131	0.47765707529	0.612676976123	0.55637321958	0.787639764987	0.884350762254	0.491969004492	0.857755141342	0.888482490877	0.865605562971	0.834705723261	0.876147963594	0.52179407874	0.785363874541	0.887006617298	0.533535918927	0.0	0.860041008653	0.841443061055	0.811177560812	0.892808649463	0.817893965297	0.569315462717	0.564671251669	0.823799898387	0.542951509525	0.834033525706	0.793546874376	0.913479681293	0.89404978094	0.821937989784	0.914677489255	0.845990028045	0.812151490786	0.695154411759	0.832408997229	0.816391658911	0.933222219702	0.857235857997	0.889640370131	0.791300348128	0.727095400435	0.922082437149	0.739866827343	0.922380618739
L0006.SH.CAS9.Root.ITS.Om.1	0.84412571142	0.713435050621	0.857579169961	0.674320364207	0.829930481722	0.848189789843	0.865758045046	0.647474867271	0.698447824985	0.850251111761	0.364456940138	0.745417050484	0.680686105369	0.676192311445	0.672473873781	0.735019495555	0.707404041195	0.561256037466	0.794153569991	0.860041008653	0.0	0.596192715285	0.600329113361	0.547544534753	0.653111019084	0.831694638649	0.863395139999	0.38426228995	0.861414880325	0.72988121401	0.79066967984	0.732035393161	0.665785877576	0.543869399589	0.564130884457	0.611447600685	0.375355883215	0.772904169696	0.429841524753	0.645555088063	0.675467359613	0.666192874368	0.650755113495	0.679751066614	0.579405038014	0.760077778028	0.729303164758	0.74729008206
L0006.SH.PU.Epi.ITS.Om.3	0.804384217358	0.562648401826	0.826859256147	0.593934318648	0.751025051639	0.802849212129	0.821443578471	0.64628550255	0.60052441995	0.810086557827	0.780675519335	0.737907625652	0.685297806149	0.632923192486	0.675200524832	0.765417056596	0.568653821523	0.464644549917	0.741201439425	0.841443061055	0.596192715285	0.0	0.469084471433	0.805590057204	0.559045596041	0.813846182691	0.80814078754	0.703089429312	0.810021393557	0.678795445605	0.598630534014	0.709448860519	0.596834776683	0.514631265373	0.551440010652	0.528301030925	0.717744319336	0.531017862562	0.653548490881	0.569465463894	0.711320345569	0.646781338548	0.720739781614	0.639836198197	0.547442807209	0.780154288989	0.824873468466	0.883007901783
L0006.SH.GE.Epi.ITS.Om.4	0.787222842455	0.469868308538	0.844850468396	0.451167320367	0.776061082714	0.795471679254	0.81466054454	0.476147561737	0.549368160386	0.819636186969	0.74459250334	0.509161323769	0.709233031723	0.508225464332	0.538858580721	0.776919227682	0.52251719896	0.627999220243	0.749838925708	0.811177560812	0.600329113361	0.469084471433	0.0	0.813480941965	0.400928246443	0.800878278127	0.784980218925	0.707818746715	0.829376063118	0.665218803536	0.598871540529	0.586273551	0.632743220507	0.545565664449	0.64887121542	0.489337474194	0.714819154633	0.681319989876	0.64596494787	0.494861174692	0.707710261127	0.570609619862	0.744184774347	0.53323642945	0.63755577715	0.819845067674	0.775244070111	0.871294781862
L0006.SH.CAS8.Root.ITS.Om.2	0.949252057148	0.89433153484	0.937193544023	0.849242925153	0.8993861158	0.954422638545	0.940727501549	0.836227375175	0.802896841377	0.947710412509	0.300679554259	0.900493913551	0.740766583682	0.835960135795	0.790159022208	0.837007304886	0.865184609095	0.632638872124	0.890821119077	0.892808649463	0.547544534753	0.805590057204	0.813480941965	0.0	0.863183874601	0.952785269169	0.963850327856	0.464243769103	0.97125017913	0.874674289917	0.948680907886	0.810924808679	0.842484960181	0.712276238074	0.571504856853	0.76625390798	0.444673331549	0.82168115284	0.428995246224	0.806987321184	0.895749265503	0.791142134074	0.588357107887	0.812166628671	0.71876188988	0.796503103284	0.875603932795	0.640226111738
