L0006.SH.GE.Epi.ITS1.3	L0006.SH.GE.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.1	L0006.SH.CAS8.Root.ITS1.3	L0006.SH.GE.Soil.ITS1.2	L0006.SH.GE.Epi.ITS1.2	L0006.SH.PU.Endo.ITS1.3	L0006.SH.PU.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.4	L0006.SH.GE.Soil.ITS1.1	L0006.SH.SD.Endo.ITS1.3	L0006.SH.PU.Soil.ITS1.3	L0006.SH.SD.Soil.ITS1.3	L0006.SH.CAS9.Soil.ITS1.3	L0006.SH.GE.Endo.ITS1.3	L0006.SH.SD.Endo.ITS1.4	L0006.SH.CAS8.Soil.ITS1.1	L0006.SH.SD.Epi.ITS1.2	L0006.SH.SD.Endo.ITS1.1	L0006.SH.GE.Soil.ITS1.4	L0006.SH.CAS9.Soil.ITS1.1	L0006.SH.SD.Soil.ITS1.4	L0006.SH.GE.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.2	L0006.SH.GE.Endo.ITS1.1	L0006.SH.SD.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.1	L0006.SH.CAS9.Root.ITS1.2	L0006.SH.SD.Epi.ITS1.3	L0006.SH.CAS9.Soil.ITS1.2	L0006.SH.GE.Soil.ITS1.3	L0006.SH.PU.Soil.ITS1.4	L0006.SH.CAS8.Soil.ITS1.3	L0006.SH.PU.Epi.ITS1.3	L0006.SH.CAS9.Root.ITS1.1	L0006.SH.PU.Soil.ITS1.1	L0006.SH.GE.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.1	L0006.SH.SD.Epi.ITS1.1	L0006.SH.PU.Soil.ITS1.2	L0006.SH.SD.Endo.ITS1.2	L0006.SH.CAS8.Soil.ITS1.2	L0006.SH.CAS9.Root.ITS1.3	L0006.SH.PU.Epi.ITS1.2	L0006.SH.GE.Epi.ITS1.1	L0006.SH.CAS8.Root.ITS1.2	L0006.SH.CAS8.Root.ITS1.1
OTU_152	0	0	0	402	0	6	2	0	0	26	7	7	367	164	0	0	0	0	11	60	0	0	73	0	147	0	6	0	0	15	0	0	1154	0	20	0	17	0	7	190	77	0	0	0	0	0	0	0
OTU_123	2	3	0	0	0	11	138	0	0	0	0	23	0	0	33	149	38	0	5	17	0	2	1	6	2	0	0	0	159	4	0	14	0	0	0	2617	1	133	0	4	0	211	0	179	0	0	0	0
OTU_133	0	15	0	0	0	12	55	0	0	0	15	0	0	0	0	0	1872	0	0	0	35	9	1	589	0	0	1	0	0	0	0	1	0	0	0	0	0	319	0	0	0	0	0	0	0	0	1	0
OTU_92	1	0	0	1123	0	0	0	0	0	2	0	166	0	1424	0	1	236	0	109	231	0	0	1274	0	1432	0	135	0	0	163	0	0	0	0	0	0	0	0	0	153	0	191	0	0	0	0	0	0
OTU_266	14	433	0	25	0	8	16	0	0	0	2	68	7	6	0	0	131	0	15	8	33	0	123	23	16	0	65	0	0	9	0	4	42	0	0	0	16	0	0	7	2	4	0	0	0	37	0	0
OTU_523	0	201	0	0	0	26	0	0	0	0	16	0	0	0	0	0	0	0	0	0	63	0	0	123	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
OTU_145	4	36	501	7	0	0	3	60	62	117	48	161	56	8	9	0	251	0	9	20	7	15	62	117	5	0	7	306	0	60	4	0	367	0	47	0	75	26	111	20	54	3	0	89	117	0	0	0
OTU_64	262	0	0	247	0	3	237	0	1	0	18	45	0	1312	0	0	154	0	3	59	0	0	392	0	8	0	462	0	0	4037	0	0	0	0	0	1	0	7	0	1522	0	0	0	0	0	454	0	0
OTU_525	0	0	0	110	0	0	0	0	0	0	0	1	0	53	0	0	7	0	1	2	0	0	121	0	30	0	58	0	0	10	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
OTU_389	0	0	0	114	0	0	0	0	0	0	0	3	0	121	0	0	7	0	11	11	0	0	91	0	168	0	53	0	0	5	0	0	0	0	0	0	0	0	0	13	0	4	0	0	0	0	0	0
OTU_167	0	0	0	360	0	0	0	0	0	0	0	55	0	438	0	0	94	0	48	90	0	0	438	0	449	0	52	0	0	63	0	0	0	0	0	0	0	0	0	52	0	91	0	0	0	0	0	0
OTU_78	0	0	0	912	0	0	2	0	0	0	0	66	0	99	0	0	18	0	173	88	1	0	287	0	132	0	189	0	0	473	0	0	0	0	0	0	0	0	0	4418	0	0	0	0	0	0	0	0
OTU_401	11	0	0	290	0	17	0	0	0	0	1	3	4	280	33	0	11	0	12	7	1	11	358	0	110	0	42	0	0	22	7	16	8	0	0	0	0	0	0	54	10	0	0	0	0	0	0	0
OTU_322	1	0	0	0	0	9	11	0	0	0	1	0	0	0	21	10	0	0	0	0	5	24	0	11	0	17	0	0	146	0	8	14	0	0	0	525	0	18	0	0	0	0	0	61	0	0	0	0
OTU_837	0	0	0	0	0	0	0	0	0	2	1	0	5	0	25	0	0	88	0	0	1	20	0	0	0	0	0	1	0	0	1	6	12	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0
OTU_2131	0	11	1	433	0	0	0	0	0	37	18	0	7	4	0	0	0	0	0	94	5	0	0	0	5	0	0	0	0	1	0	0	166	0	0	0	6	0	0	17	0	0	0	0	0	0	0	0
OTU_3500	0	18	5	37	1	0	0	8	0	0	0	41	0	15	1	0	292	0	2	29	0	0	116	1	11	0	52	3	0	8	0	0	4	0	0	0	3	0	0	15	4	29	0	4	2	0	0	0
OTU_554	0	0	0	16	0	0	0	0	0	3	0	0	0	7	0	0	0	0	5	10	0	0	31	0	20	0	9	4	0	8	0	0	2	0	0	0	20	0	397	11	1	9	0	0	7	20	0	0
OTU_662	0	4	21	8	0	7	6	0	0	2	2	5	7	12	0	0	0	0	0	22	6	0	0	0	4	0	0	4	0	2	0	0	19	0	1	0	74	0	133	1	5	10	0	0	0	1	0	0
OTU_699	0	0	10	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	11	388	0	0	10	0	0	0	1	0	179	0	0	0	0	0
OTU_5687	0	0	358	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	17	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
OTU_100	0	0	0	0	0	0	0	0	0	170	4	0	4134	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	121	0	296	0	1532	0	61	0	79	0	0	0	20	0	0	0
OTU_386	0	13	0	0	0	0	0	0	0	0	0	0	0	0	842	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3727	2	4	5	1	0	0	0	289	240	19	1	0	41	2	0	0	24	0	0	3	0	0	4	0	2	0	6	5	0	0	0	0	26	0	23	0	21	0	0	0	7	0	0	0	71	0	0	0
OTU_157	0	0	0	9	0	0	0	0	0	0	0	352	0	14	0	0	146	0	69	53	0	0	70	0	39	0	45	0	749	99	0	0	0	0	0	883	0	0	0	61	0	2024	6	538	0	0	56	0
