L0006.SH.GE.Epi.ITS1.3	L0006.SH.GE.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.1	L0006.SH.CAS8.Root.ITS1.3	L0006.SH.GE.Soil.ITS1.2	L0006.SH.GE.Epi.ITS1.2	L0006.SH.PU.Endo.ITS1.3	L0006.SH.PU.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.4	L0006.SH.GE.Soil.ITS1.1	L0006.SH.SD.Endo.ITS1.3	L0006.SH.PU.Soil.ITS1.3	L0006.SH.SD.Soil.ITS1.3	L0006.SH.CAS9.Soil.ITS1.3	L0006.SH.GE.Endo.ITS1.3	L0006.SH.SD.Endo.ITS1.4	L0006.SH.CAS8.Soil.ITS1.1	L0006.SH.SD.Epi.ITS1.2	L0006.SH.SD.Endo.ITS1.1	L0006.SH.GE.Soil.ITS1.4	L0006.SH.CAS9.Soil.ITS1.1	L0006.SH.SD.Soil.ITS1.4	L0006.SH.GE.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.2	L0006.SH.GE.Endo.ITS1.1	L0006.SH.SD.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.1	L0006.SH.CAS9.Root.ITS1.2	L0006.SH.SD.Epi.ITS1.3	L0006.SH.CAS9.Soil.ITS1.2	L0006.SH.GE.Soil.ITS1.3	L0006.SH.PU.Soil.ITS1.4	L0006.SH.CAS8.Soil.ITS1.3	L0006.SH.PU.Epi.ITS1.3	L0006.SH.CAS9.Root.ITS1.1	L0006.SH.PU.Soil.ITS1.1	L0006.SH.GE.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.1	L0006.SH.SD.Epi.ITS1.1	L0006.SH.PU.Soil.ITS1.2	L0006.SH.SD.Endo.ITS1.2	L0006.SH.CAS8.Soil.ITS1.2	L0006.SH.CAS9.Root.ITS1.3	L0006.SH.PU.Epi.ITS1.2	L0006.SH.GE.Epi.ITS1.1	L0006.SH.CAS8.Root.ITS1.2	L0006.SH.CAS8.Root.ITS1.1
L0006.SH.GE.Soil.ITS1.1	0.505748986622	0.438162241688	0.687941567781	0.614990874559	0.893349180195	0.257360264035	0.500423224605	0.76048408907	0.741464805883	0.615087822842	0.0	0.710412319018	0.492766186308	0.58393670576	0.557487828528	0.630531926247	0.685554804086	0.649890981628	0.674809331293	0.687116418525	0.266592648548	0.566631604598	0.620390805628	0.63338268857	0.599520579244	0.735914166579	0.668571691519	0.760631070178	0.874110867718	0.668085035312	0.542148317213	0.272553363055	0.493421588878	0.598935215848	0.615781514995	0.816930335783	0.497413597592	0.70709159948	0.707971865744	0.660448513762	0.49597213758	0.712948835321	0.619980582703	0.858672608871	0.62590050081	0.585639423652	0.893491350743	0.90005641308
L0006.SH.SD.Endo.ITS1.3	0.614351199911	0.616996189582	0.589332841857	0.442886742528	0.87123867552	0.699325184798	0.639946345084	0.654870173305	0.64165695845	0.615408028993	0.710412319018	0.0	0.672160018245	0.418650986015	0.819329851008	0.616946952091	0.384046977229	0.836329187334	0.374616655953	0.389829986215	0.707124944374	0.83671642981	0.45323477382	0.624312785996	0.430804690898	0.678447331655	0.379074336284	0.706772671351	0.854839693947	0.309290806431	0.80948193794	0.720194753053	0.662550438684	0.825933582245	0.650178020026	0.822860329826	0.674369707821	0.677972123788	0.68567854656	0.384313454086	0.630656973719	0.346067485282	0.819925833036	0.844278670605	0.611681290148	0.634620033802	0.853443794336	0.901381246938
L0006.SH.PU.Soil.ITS1.3	0.563599334507	0.550873764048	0.551047740812	0.596299598715	0.893946781186	0.489003586048	0.591187772296	0.629720624518	0.598895948441	0.38812090969	0.492766186308	0.672160018245	0.0	0.572579554009	0.57165969168	0.688726928009	0.660614017	0.649564832902	0.631678986482	0.64050955842	0.484283743836	0.580342970041	0.601936054613	0.698627938342	0.593426094422	0.799045319134	0.632162356411	0.674972227374	0.876547968563	0.624242469218	0.544886942732	0.497332587764	0.253671612322	0.628508223818	0.33560907994	0.823926267075	0.274048221022	0.763862288018	0.530441154398	0.609435064164	0.270475950536	0.67188223456	0.629176030241	0.846592784881	0.442134931567	0.673193677655	0.884572540317	0.905327054674
L0006.SH.SD.Soil.ITS1.3	0.617020753522	0.602882191481	0.667186502085	0.235745234096	0.891089278624	0.583708766005	0.644435740941	0.749365991323	0.71888402155	0.606199249335	0.58393670576	0.418650986015	0.572579554009	0.0	0.701817270584	0.701852667779	0.443830610616	0.744046113592	0.350606610546	0.389475730609	0.583929771177	0.719029109879	0.24377863254	0.724781284242	0.209321777355	0.781470801936	0.336499542073	0.75618740185	0.902393664316	0.32955928712	0.695687668773	0.608334302641	0.557056391314	0.728645087926	0.62771233162	0.857186547879	0.584461243349	0.77131078859	0.705483109595	0.34593530621	0.558592379131	0.468244766828	0.727499935399	0.883888553784	0.619746901305	0.670730014743	0.884405778182	0.913060179893
L0006.SH.CAS9.Soil.ITS1.3	0.749375171039	0.687814143332	0.796065838171	0.729903560085	0.853395929816	0.562509188407	0.742589299089	0.818220214808	0.842988091824	0.738294581034	0.557487828528	0.819329851008	0.57165969168	0.701817270584	0.0	0.803053626282	0.793271511723	0.433936995067	0.786490240701	0.792424222174	0.533856269998	0.225694806553	0.727115812525	0.805742221189	0.717720099399	0.849314286286	0.789180208572	0.793078187155	0.786249762114	0.796885459567	0.247483048456	0.521682989748	0.586774532037	0.426290333248	0.698695740008	0.72351799403	0.598902586293	0.837674971527	0.786740826935	0.779793433892	0.575147064165	0.817179416125	0.393027117728	0.76223433063	0.770998656394	0.797782052773	0.833868165868	0.871939866585
L0006.SH.GE.Endo.ITS1.3	0.421833810965	0.510739090096	0.568841312589	0.733124979535	0.826387858497	0.582423551465	0.473191151944	0.617854969216	0.63820547949	0.628246553744	0.630531926247	0.616946952091	0.688726928009	0.701852667779	0.803053626282	0.0	0.67108626703	0.797059221778	0.677131274652	0.691949372306	0.627805440514	0.818081032982	0.714830972123	0.420564818849	0.721642968135	0.509292502266	0.688712390949	0.633726729886	0.781313162041	0.672556660707	0.802819581596	0.59089016772	0.706652545655	0.790893172433	0.645348066069	0.725593859575	0.687381010257	0.441502217459	0.652991121962	0.669685553539	0.673849549167	0.620424205049	0.791528721717	0.793312388122	0.605327394496	0.502498290322	0.810836775914	0.83154615933
L0006.SH.SD.Endo.ITS1.4	0.647559177129	0.649381123944	0.598091986808	0.404462019217	0.864985110975	0.6881832752	0.670955010155	0.657133677122	0.639854331774	0.629944762243	0.685554804086	0.384046977229	0.660614017	0.443830610616	0.793271511723	0.67108626703	0.0	0.813597165422	0.451856681022	0.375228289554	0.683374966036	0.811799675912	0.36327956923	0.662263621097	0.438975381948	0.72853049511	0.344838228184	0.662643051161	0.846245436049	0.425932682741	0.781283440379	0.707560370368	0.652755554686	0.807211341749	0.656623546369	0.809010200814	0.661106768562	0.69285959395	0.676025217494	0.394295318282	0.644105675821	0.399262874948	0.813297010027	0.828827533411	0.632868119533	0.686905531787	0.850868552129	0.891163085955
L0006.SH.CAS8.Soil.ITS1.1	0.748719880736	0.714422257514	0.796744627997	0.761343529428	0.817597081477	0.651478279349	0.757667343101	0.826797365949	0.839872451876	0.760802798517	0.649890981628	0.836329187334	0.649564832902	0.744046113592	0.433936995067	0.797059221778	0.813597165422	0.0	0.813852072929	0.808621468865	0.627487200671	0.41206708061	0.760760667495	0.813587845631	0.756432699441	0.817953200771	0.811635302971	0.812120292929	0.79702009474	0.805714244964	0.429597331131	0.614202191297	0.666976475712	0.338288879938	0.74701946017	0.723138488324	0.661380532678	0.837550791521	0.79903382122	0.797638795805	0.65736054106	0.824037251442	0.35230121463	0.772072703495	0.788515564278	0.792360589273	0.748681358529	0.81562751445
L0006.SH.SD.Epi.ITS1.2	0.579291060256	0.613107250292	0.651527472388	0.364855021778	0.894306169214	0.661057526344	0.63402480212	0.72515276849	0.697370227373	0.596688157929	0.674809331293	0.374616655953	0.631678986482	0.350606610546	0.786490240701	0.677131274652	0.451856681022	0.813852072929	0.0	0.397405468008	0.675860155778	0.808554533704	0.388571649473	0.692807422408	0.306861800008	0.738966480069	0.325058713571	0.767111453848	0.894415969528	0.274218074997	0.78065505549	0.69178188323	0.632129456517	0.800144535691	0.600297494951	0.855580075508	0.637426230802	0.749706895094	0.692187663995	0.277405220066	0.597957993736	0.365799864743	0.795782458583	0.883771404997	0.585346725288	0.613466540294	0.877286777245	0.921065163267
L0006.SH.SD.Endo.ITS1.1	0.657694472637	0.663386840445	0.622956593094	0.307794088228	0.86470441021	0.688024647793	0.687202493498	0.669575205977	0.66366988622	0.614884607545	0.687116418525	0.389829986215	0.64050955842	0.389475730609	0.792424222174	0.691949372306	0.375228289554	0.808621468865	0.397405468008	0.0	0.679517766583	0.810113792351	0.382019835401	0.710448871487	0.373902899193	0.74558783753	0.382109023366	0.701956742862	0.871113211343	0.409281858129	0.779246621845	0.705583180351	0.631317362664	0.799491979986	0.646871714039	0.826668139252	0.642513237638	0.732443943754	0.684190244068	0.294508631514	0.627931170184	0.388978343111	0.798287287885	0.861640343702	0.647627541875	0.692495334841	0.868586507371	0.890895376811
L0006.SH.GE.Soil.ITS1.4	0.508733755659	0.381308646344	0.680813942141	0.607822207573	0.888480672012	0.245315581821	0.488453405428	0.742740407119	0.742627844459	0.61557672649	0.266592648548	0.707124944374	0.484283743836	0.583929771177	0.533856269998	0.627805440514	0.683374966036	0.627487200671	0.675860155778	0.679517766583	0.0	0.550490036719	0.616909690231	0.610749183098	0.59506815374	0.746170966883	0.670774943823	0.740752141062	0.863191667204	0.680530866422	0.523271515371	0.279766419653	0.48393063088	0.586081310179	0.616966953711	0.807755372087	0.492153716974	0.70828357672	0.693342325552	0.65829737722	0.499939000647	0.701978268286	0.604338654363	0.852105766758	0.631355468529	0.601068605707	0.885160740666	0.894231784387
L0006.SH.CAS9.Soil.ITS1.1	0.746586175837	0.686400851006	0.809857650651	0.751737567191	0.868734372173	0.55714586987	0.750421588415	0.83130609999	0.841533613534	0.758881059012	0.566631604598	0.83671642981	0.580342970041	0.719029109879	0.225694806553	0.818081032982	0.811799675912	0.41206708061	0.808554533704	0.810113792351	0.550490036719	0.0	0.751795755405	0.816491198507	0.740104214152	0.855313860333	0.816973732189	0.832628375377	0.797651082415	0.815134723533	0.249391895042	0.54799896591	0.597645348599	0.411540387952	0.714817975514	0.727180941069	0.61987526365	0.83869827152	0.813087375072	0.795926200312	0.590620629823	0.840907360736	0.39266377371	0.767001080684	0.775587121926	0.807861255375	0.831998045964	0.866604355987
L0006.SH.SD.Soil.ITS1.4	0.632367049485	0.633692078919	0.669316721485	0.255112394664	0.902106264131	0.621899355993	0.669448488626	0.744346034383	0.712668407378	0.61972585304	0.620390805628	0.45323477382	0.601936054613	0.24377863254	0.727115812525	0.714830972123	0.36327956923	0.760760667495	0.388571649473	0.382019835401	0.616909690231	0.751795755405	0.0	0.735610126403	0.263094200322	0.801232591483	0.276828458189	0.73927266902	0.906666743925	0.38074100453	0.720735167891	0.644943525325	0.584242151394	0.756567863831	0.647324491721	0.868050684655	0.602346955279	0.773670425359	0.689761421258	0.362028340258	0.586154671741	0.485385555259	0.758292885752	0.892120575847	0.633261673377	0.696996464231	0.889167084722	0.923670184907
L0006.SH.GE.Endo.ITS1.4	0.510356202489	0.415452374948	0.493558280312	0.757526413676	0.835309826904	0.598261769615	0.467982336592	0.597323685272	0.608304688344	0.59120260452	0.63338268857	0.624312785996	0.698627938342	0.724781284242	0.805742221189	0.420564818849	0.662263621097	0.813587845631	0.692807422408	0.710448871487	0.610749183098	0.816491198507	0.735610126403	0.0	0.740483298342	0.453558978694	0.699974536789	0.601082237843	0.806140685037	0.671428332344	0.813790475009	0.641860498378	0.69001072879	0.809338425174	0.62882879081	0.751343307823	0.688805634482	0.435511460656	0.637353701459	0.682518645793	0.667564762702	0.625208176005	0.790703210118	0.811025590979	0.587888754439	0.488932683106	0.821042850238	0.861271642827
