Strain	Condition	Fresh_weight	Mean_MF	Relative_to_MF																							
Pseudomonas_401	BF	0		0																							
Pseudomonas_401	BF	0		0																							
Pseudomonas_71	BF	0.0054		0.576430401																							
Pseudomonas_71	BF	0.0049		0.523057216																							
Pseudomonas_71	BF	0.0026		0.277540564																							
Pseudomonas_71	BF	0.0032		0.341588386																							
Pseudomonas_71	BF	0.001		0.106746371																							
Pseudomonas_71	BF	0.0014		0.149444919																							
Pseudomonas_71	BF	0.001		0.106746371																							
Pseudomonas_71	BF	0.0003		0.032023911																							
Pseudomonas_71	BF	0		0																							
Pseudomonas_71	BF	0		0																							
Pseudomonas_71	BF	0		0																							
Pseudomonas_71	BF	0		0																							
Pseudomonas_71	BF	0		0																							
Pseudomonas_71	BF	0		0																							
Pseudomonas_71	BF	0		0																							
Pseudomonas_71	BF	0		0																							
Rhizobacter_404	BF	0.0044		0.469684031																							
Rhizobacter_404	BF	0.0016		0.170794193																							
Rhizobacter_404	BF	0.0009		0.096071734																							
Rhizobacter_404	BF	0.0014		0.149444919																							
Rhizobacter_404	BF	0.0005		0.053373185																							
Rhizobacter_404	BF	0.0003		0.032023911																							
Rhizobacter_404	BF	0		0																							
Rhizobacter_404	BF	0		0																							
Rhizobacter_404	BF	0		0																							
Rhizobacter_404	BF	0		0																							
Rhizobacter_404	BF	0		0																							
Rhizobacter_404	BF	0		0																							
Rhizobacter_404	BF	0		0																							
Rhizobacter_404	BF	0		0																							
Rhizobacter_404	BF	0		0																							
Rhizobacter_404	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Rhizobacter_16D2	BF	0		0																							
Variovorax_318D1	BF	0.0051		0.54440649																							
Variovorax_318D1	BF	0.0076		0.811272417																							
Variovorax_318D1	BF	0.0035		0.373612297																							
Variovorax_318D1	BF	0.0024		0.256191289																							
Variovorax_318D1	BF	0.0063		0.672502135																							
Variovorax_318D1	BF	0.0078		0.832621691																							
Variovorax_318D1	BF	0.0055		0.587105038																							
Variovorax_318D1	BF	0.0001		0.010674637																							
Variovorax_318D1	BF	0.0009		0.096071734																							
Variovorax_318D1	BF	0		0																							
Variovorax_318D1	BF	0		0																							
Variovorax_318D1	BF	0		0																							
Variovorax_318D1	BF	0		0																							
Variovorax_318D1	BF	0		0																							
Variovorax_318D1	BF	0		0																							
Variovorax_318D1	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Acidovorax_402	BF	0		0																							
Variovorax_411	BF	0.049		5.230572161																							
Variovorax_411	BF	0.0046		0.491033305																							
Variovorax_411	BF	0.0136		1.45175064																							
Variovorax_411	BF	0.0004		0.042698548																							
Variovorax_411	BF	0.0014		0.149444919																							
Variovorax_411	BF	0.004		0.426985482																							
Variovorax_411	BF	0.0008		0.085397096																							
Variovorax_411	BF	0.0006		0.064047822																							
Variovorax_411	BF	0.0013		0.138770282																							
Variovorax_411	BF	0.0002		0.021349274																							
Variovorax_411	BF	0.0002		0.021349274																							
