Condition	Freshweight	Normalized	Normalized_to_bacteria	Experiment
BF-Comm-Pseudo	0.0126	0.917030568	0.622208363	FP17
BF-Comm-Pseudo	0.0177	1.288209607	0.874054605	FP17
BF-Comm-Pseudo	0.0072	0.524017467	0.355547636	FP17
BF-Comm-Pseudo	0.003	0.218340611	0.148144848	FP17
BF-Comm-Pseudo	0.0038	0.276564774	0.187650141	FP17
BF-Comm-Pseudo	0.0046	0.334788937	0.227155434	FP17
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
Fungi	0	0	0	
