Condition	Freshweight	Relative_to_MF	Normalized_to_bacteria	Experiment
BF-Comm	0.0333	2.016959419	1.364834975	BIO1
BF-Comm	0.0269	1.629315566	1.102524349	BIO1
BF-Comm	0.0082	0.496668686	0.33608549	BIO1
BF-Comm	0.0331	2.004845548	1.356637768	BIO1
BF-Comm	0.0224	1.356753483	0.918087191	BIO1
BF-Comm	0.0115	0.696547547	0.471339406	BIO1
BF-Comm	0.0192	1.162931557	0.786931878	BIO1
BF-Comm	0.0322	1.950333131	1.319750336	BIO1
BF-Comm	0.0103	0.623864325	0.422156164	BIO1
BF-Comm	0.0241	1.459721381	0.98776345	BIO1
BF-Comm	0.0186	1.126589945	0.762340256	BIO1
BF-Comm	0.0124	0.751059964	0.508226838	BIO1
BF-Comm	0.0217	1.314354936	0.889396965	BIO1
BF-Comm	0.0189	1.144760751	0.774636067	BIO1
BF-Comm	0.0155	0.938824955	0.594833102	BIO1
BF-Pseudo	0.0264	1.59903089	1.013135089	BIO1
BF-Pseudo	0.0239	1.447607511	0.917194266	BIO1
BF-Pseudo	0.0178	1.078134464	0.683098658	BIO1
BF-Pseudo	0.0156	0.94488189	0.598670734	BIO1
BF-Pseudo	0.0149	0.902483343	0.571807304	BIO1
BF-Pseudo	0.0341	2.0654149	1.308632823	BIO1
BF-Pseudo	0.02	1.211387038	0.767526582	BIO1
BF-Pseudo	0.0117	0.708661417	0.44900305	BIO1
BF-Pseudo	0.0157	0.950938825	0.602508367	BIO1
BF-Pseudo	0.0207	1.253785584	0.794390012	BIO1
BF-Pseudo	0.0169	1.023622047	0.648559962	BIO1
BF-Pseudo	0.0066	0.399757723	0.253283772	BIO1
BF-Pseudo	0.0129	0.78134464	0.495054646	BIO1
BF-Pseudo	0.0275	1.665657177	1.05534905	BIO1
BF-Pseudo	0.0292	1.768625076	1.12058881	BIO1
BF-Pseudo	0.0115	0.696547547	0.441327785	BIO1
BF-Pseudo	0.0085	0.514839491	0.326198797	BIO1
BF-Pseudo	0.0178	1.078134464	0.683098658	BIO1
BF-Pseudo	0.0301	1.823137492	1.155127506	BIO1
BF-Pseudo	0.0165	0.999394306	0.63320943	BIO1
BF-Comm-Pseudo	0.0244	1.477892187	1.002754881	BIO1
BF-Comm-Pseudo	0.0233	1.411265899	0.957548718	BIO1
BF-Comm-Pseudo	0.0428	2.592368262	1.758930693	BIO1
BF-Comm-Pseudo	0.0291	1.762568141	1.195908485	BIO1
BF-Comm-Pseudo	0.0079	0.47849788	0.324662441	BIO1
BF-Comm-Pseudo	0.0361	2.186553604	1.483584066	BIO1
BF-Comm-Pseudo	0.0214	1.296184131	0.879465347	BIO1
BF-Comm-Pseudo	0.0121	0.732889158	0.497267789	BIO1
BF-Comm-Pseudo	0.0272	1.647486372	1.117825113	BIO1
BF-Comm-Pseudo	0.0227	1.374924288	0.932890811	BIO1
BF-Comm-Pseudo	0.0315	1.907934585	1.294540113	BIO1
BF-Comm-Pseudo	0.0287	1.7383404	1.179469881	BIO1
BF-Comm-Pseudo	0.0081	0.49061175	0.332881743	BIO1
BF-Comm-Pseudo	0.0249	1.508176863	1.023303137	BIO1
BF-Comm-Pseudo	0.0128	0.775287704	0.526035347	BIO1
BF-Comm-Pseudo	0.0204	1.235614779	0.838368835	BIO1
BF-Comm-Pseudo	0.0148	0.896426408	0.60822837	BIO1
BF-Comm-Pseudo	0.0086	0.520896426	0.353429999	BIO1
BF-Comm-Pseudo	0.0173	1.047849788	0.710969649	BIO1
BF-Comm-Pseudo	0.0284	1.720169594	1.167140927	BIO1
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
Fungi	0	0	0	BIO2
BF	0.0318	2.31441048	1.46504538	BIO2
BF	0.0167	1.215429403	0.769379178	BIO2
BF	0.0141	1.026200873	0.649595593	BIO2
BF	0.0175	1.273653566	0.806235665	BIO2
BF	0.0368	2.678311499	1.695398427	BIO2
BF	0.011	0.800582242	0.506776704	BIO2
BF	0.0173	1.259097525	0.797021543	BIO2
BF	0.0138	1.004366812	0.63577441	BIO2
BF	0.0586	4.264919942	2.699737713	BIO2
BF	0.0207	1.506550218	0.953661615	BIO2
BF	0.0055	0.400291121	0.253388352	BIO2
BF	0.0335	2.438136827	1.543365416	BIO2
BF	0.0263	1.91411936	1.211657028	BIO2
BF	0.0177	1.288209607	0.815449787	BIO2
BF	0.03	2.183406114	1.382118283	BIO2
BF	0.0252	1.834061135	1.160979358	BIO2
BF	0.0124	0.902474527	0.571275557	BIO2
BF	0.0077	0.560407569	0.354743693	BIO2
BF	0.0241	1.754002911	1.110301687	BIO2
